,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,adrenaline_mean,round_mean,experiment_times
91,1,7,2,7.7399999999999975,0.9226,0.9366,5.598,10000
92,1,7,3,5.27,0.9473,0.9435,5.6276,10000
93,1,7,4,4.09,0.9591,0.9493,5.7001,10000
94,1,7,5,2.9000000000000004,0.971,0.9653,5.7875,10000
95,1,8,0,100.0,0.0,2.6964,16.0326,10000
96,1,8,1,7.7799999999999985,0.9222,0.9267,5.5651,10000
97,1,8,2,5.53,0.9447,0.9358,5.6645,10000
98,1,8,3,4.38,0.9562,0.9578,5.7677,10000
99,1,8,4,3.19,0.9681,0.9772,5.8548,10000
100,1,8,5,2.34,0.9766,0.9686,5.8243,10000
101,1,9,0,100.0,0.0,2.9434,17.913,10000
102,1,9,1,5.67,0.9433,0.9543,5.641,10000
103,1,9,2,4.35,0.9565,0.9501,5.7410000000000005,10000
104,1,9,3,3.27,0.9673,0.9643,5.805,10000
105,1,9,4,2.12,0.9788,0.9801,5.8435,10000
106,1,9,5,1.85,0.9815,0.9978,5.9475,10000
107,1,10,0,100.0,0.0,3.3267,20.0085,10000
108,1,10,1,4.35,0.9565,0.9504,5.7025,10000
109,1,10,2,3.41,0.9659,0.9687,5.8388,10000
110,1,10,3,2.46,0.9754,1.0026,5.8894,10000
111,1,10,4,1.55,0.9845,0.9765,5.8802,10000
112,1,10,5,1.14,0.9886,1.0045,5.992000000000001,10000
113,2,0,1,97.63,0.2278,0.4272,1.3586,10000
114,2,0,2,86.24000000000002,0.5591,0.6317,2.2448,10000
115,2,0,3,75.46000000000002,0.8023,0.8857,3.27,10000
116,2,0,4,65.02,1.0188,1.1024,4.1419,10000
117,2,0,5,54.51000000000001,1.2011,1.2448,4.8955,10000
118,2,1,0,100.0,0.0,0.4455,1.3283,10000
119,2,1,1,91.69,0.3851,0.6891,2.2944,10000
120,2,1,2,75.7,0.8001,0.8828,3.2727,10000
121,2,1,3,65.01,1.0255,1.0639,4.1513,10000
122,2,1,4,54.72,1.2036,1.2572,4.9646,10000
123,2,1,5,45.75,1.3553,1.4003,5.6338,10000
124,2,2,0,100.0,0.0,0.7416,2.226,10000
125,2,2,1,84.87,0.5603,0.9922,3.3776,10000
126,2,2,2,64.59,1.0258,1.0849,4.17,10000
127,2,2,3,54.790000000000006,1.2079,1.2756,4.9665,10000
128,2,2,4,44.48,1.3714,1.4,5.5815,10000
129,2,2,5,37.59,1.4837,1.5292,6.2167,10000
130,2,3,0,100.0,0.0,1.101,3.2731,10000
131,2,3,1,77.86,0.7061,1.2215,4.3307,10000
132,2,3,2,54.58,1.2051,1.2591,4.9482,10000
133,2,3,3,45.46,1.3644,1.3826,5.6241,10000
134,2,3,4,37.91,1.4762,1.5533,6.237,10000
135,2,3,5,30.24,1.5918,1.6315,6.7096,10000
136,2,4,0,100.0,0.0,1.3849,4.2011,10000
137,2,4,1,69.26,0.877,1.4509999999999998,5.2048,10000
138,2,4,2,45.76,1.3551,1.39,5.6151,10000
139,2,4,3,37.63,1.4855,1.5124,6.1857,10000
140,2,4,4,29.8,1.5969,1.6074,6.6418,10000
141,2,4,5,24.9,1.6692,1.6699,7.0572,10000
142,2,5,0,100.0,0.0,1.7467,5.2407,10000
143,2,5,1,62.08,1.0178,1.6377,6.0603,10000
144,2,5,2,37.3,1.4863,1.5234,6.1867,10000
145,2,5,3,30.76,1.586,1.6127,6.6916,10000
146,2,5,4,24.4,1.6795,1.6928,7.0871,10000
147,2,5,5,19.65,1.7464,1.7849,7.4218,10000
148,2,6,0,100.0,0.0,2.0927,6.2589999999999995,10000
149,2,6,1,54.97,1.1411,1.8204,6.8106,10000
150,2,6,2,29.7,1.5999,1.632,6.6871,10000
151,2,6,3,24.67,1.675,1.675,7.0221,10000
152,2,6,4,19.49,1.7493,1.7511,7.4098,10000
