,human_nums,normal_zombie_nums,elite_zombie_nums,winning_probability,death_mean,round_mean,experiment_times
0,4,2,1,91.9449194491945,1.4065340653406535,2.002880028800288,11111
1,4,2,2,80.09180091800918,2.031770317703177,2.6753667536675367,11111
2,4,2,3,64.26964269642697,2.5740257402574027,3.2618126181261813,11111
3,4,2,4,49.38349383493836,2.992709927099272,3.7441274412744128,11111
4,4,3,0,96.13896138961391,1.143641436414364,2.046260462604626,11111
5,4,3,1,85.34785347853479,1.7945279452794527,2.6683466834668352,11111
6,4,3,2,69.03969039690398,2.42759427594276,3.269552695526955,11111
7,4,3,3,52.56952569525696,2.9018090180901814,3.7743677436774368,11111
8,4,3,4,38.86238862388624,3.2606426064260643,4.191521915219152,11111
9,4,4,0,92.5929259292593,1.4626946269462695,2.783187831878319,11111
10,4,4,1,76.82476824768247,2.142651426514265,3.3007830078300784,11111
11,4,4,2,58.599585995859954,2.7326973269732697,3.8016380163801635,11111
12,4,4,3,42.43542435424353,3.179281792817928,4.227342273422734,11111
13,4,4,4,31.104311043110428,3.4424444244442443,4.530375303753037,11111
14,4,5,0,88.8578885788858,1.7169471694716951,3.4932949329493286,11111
15,4,5,1,67.25767257672577,2.4581945819458197,3.900999009990101,11111
16,4,5,2,47.39447394473946,3.024840248402484,4.288182881828818,11111
17,4,5,3,33.57033570335703,3.3762037620376204,4.594095940959409,11111
18,4,5,4,23.40023400234002,3.605076050760508,4.847988479884799,11111
19,4,6,0,83.42183421834218,1.9924399243992441,4.2470524705247055,11111
20,4,6,1,58.014580145801446,2.74439744397444,4.492574925749256,11111
21,4,6,2,39.438394383943844,3.2254522545225446,4.702637026370264,11111
22,4,6,3,25.380253802538032,3.5473854738547383,4.8936189361893625,11111
23,4,6,4,17.19017190171902,3.7149671496714967,5.043740437404374,11111
24,4,7,0,77.26577265772656,2.2319323193231932,5.007470074700748,11111
25,4,7,1,49.26649266492665,2.979479794797948,4.9775897758977585,11111
26,4,7,2,30.582305823058228,3.4164341643416436,5.027720277202771,11111
27,4,7,3,19.29619296192962,3.6664566645666463,5.149221492214922,11111
28,4,7,4,11.691116911169114,3.814508145081451,5.209072090720907,11111
29,4,8,0,71.66771667716677,2.4335343353433534,5.702187021870219,11111
30,4,8,1,41.71541715417154,3.1710017100171,5.4302043020430215,11111
31,4,8,2,24.16524165241653,3.5580955809558086,5.357663576635766,11111
32,4,8,3,14.274142741427415,3.759157591575916,5.293762937629376,11111
33,4,8,4,9.45009450094501,3.851228512285122,5.352713527135271,11111
34,4,9,0,65.08865088650886,2.6417064170641704,6.375753757537575,11111
35,4,9,1,34.25434254342544,3.3346233462334625,5.796327963279633,11111
36,4,9,2,19.14319143191432,3.6646566465664656,5.579425794257944,11111
37,4,9,3,10.917109171091713,3.8241382413824136,5.470524705247052,11111
38,4,9,4,6.615066150661508,3.8973089730897312,5.402124021240212,11111
39,4,10,0,58.63558635586356,2.8192781927819284,7.014850148501487,11111
40,4,10,1,27.576275762757632,3.4725947259472596,6.097380973809737,11111
41,4,10,2,14.328143281432814,3.7542975429754297,5.7479974799748,11111
42,4,10,3,7.686076860768608,3.875168751687517,5.596525965259652,11111
43,4,10,4,4.671046710467105,3.9315093150931513,5.515435154351543,11111
44,5,0,1,99.729997299973,1.021960219602196,1.0351003510035102,11111
45,5,0,2,98.28098280982807,1.3015930159301592,1.216722167221672,11111
46,5,0,3,94.32094320943209,1.8039780397803973,1.6892268922689226,11111
47,5,0,4,86.70686706867069,2.3787237872378726,2.2970029700297,11111
48,5,1,0,99.86499864998648,0.8428584285842858,1.039420394203942,11111
49,5,1,1,98.91098910989108,1.1468814688146882,1.2203222032220322,11111
50,5,1,2,95.11295112951127,1.6511565115651157,1.6693366933669336,11111
51,5,1,3,88.26388263882639,2.2790027900279,2.2902529025290246,11111
52,5,1,4,78.1477814778148,2.84690846908469,2.8870488704887047,11111
53,5,2,0,99.50499504995052,0.971109711097111,1.2329223292232925,11111
54,5,2,1,96.72396723967242,1.4736747367473677,1.6563765637656376,11111
55,5,2,2,90.39690396903968,2.0909909099091,2.2370623706237063,11111
56,5,2,3,80.29880298802988,2.7228872288722887,2.863738637386373,11111
57,5,2,4,67.98667986679867,3.2693726937269374,3.4137341373413728,11111
58,5,3,0,98.74898748987488,1.2010620106201062,1.6507965079650797,11111
59,5,3,1,93.5109351093511,1.8778687786877868,2.2428224282242817,11111
60,5,3,2,83.40383403834039,2.5374853748537487,2.838088380883809,11111
61,5,3,3,70.39870398703987,3.1503915039150385,3.4059040590405902,11111
62,5,3,4,58.05958059580596,3.6109261092610927,3.918369183691837,11111
63,5,4,0,97.479974799748,1.5405454054540546,2.2350823508235083,11111
64,5,4,1,89.09189091890919,2.234542345423454,2.803528035280353,11111
65,5,4,2,76.0417604176042,2.918279182791828,3.3799837998379982,11111
66,5,4,3,61.38961389613896,3.4757447574475746,3.901449014490145,11111
67,5,4,4,46.92646926469265,3.963639636396364,4.4025740257402575,11111
68,5,5,0,95.07695076950769,1.8557285572855728,2.8367383673836737,11111
69,5,5,1,82.62982629826298,2.5923859238592386,3.3755737557375576,11111
70,5,5,2,67.07767077670775,3.2511025110251097,3.902079020790208,11111
71,5,5,3,51.93051930519306,3.7614076140761408,4.356133561335613,11111
72,5,5,4,39.06939069390694,4.16560165601656,4.752767527675276,11111
73,5,6,0,91.8009180091801,2.143731437314373,3.455314553145532,11111
74,5,6,1,75.45675456754569,2.9090090900909007,3.94329943299433,11111
75,5,6,2,58.923589235892365,3.53559535595356,4.378633786337863,11111
